order_item_id,order_id,product_id,quantity,unit_price,discount_amount
1,1,123,1,794.73,0
2,2,487,2,18.43,0
3,2,79,1,1050.88,0
4,2,489,1,11.31,2.3
5,3,107,1,672.1,127.94
6,3,118,1,1211.77,0
7,4,145,1,158.16,0
8,4,137,1,38.68,0
9,5,232,1,234.43,0
10,5,15,1,784.33,0
11,6,106,1,725.26,0
12,6,103,1,712.19,0
13,6,389,1,16.13,0
14,6,292,1,139.87,0
15,7,93,2,637.5,0
16,8,252,1,265.54,0
17,9,318,1,92.82,0
18,9,26,1,677.58,0
19,9,439,1,155.19,0
20,10,39,1,766.19,0
21,10,144,1,234.59,18.38
22,10,214,1,149.47,0
23,11,477,2,48.55,0
24,12,139,1,192.92,0
25,12,12,1,1498.17,0
26,13,212,1,94.84,0
27,13,90,1,1905.41,0
28,13,499,2,39.54,0
29,14,354,1,134.8,24.27
30,15,435,1,372.63,0
31,16,462,1,237.04,0
32,17,178,2,112.57,41.55
33,18,71,1,1293.99,0
34,19,321,1,272.59,0
35,19,75,1,230.2,0
36,19,307,1,97.07,0
37,19,175,1,191.26,0
38,20,295,1,427.81,0
39,20,3,2,1571.85,0
40,21,192,1,230.05,0
41,21,281,1,441.84,0
42,21,480,1,11.41,0
43,22,367,2,36.33,0
44,22,1,1,1095.23,70.58
45,22,458,3,293.22,0
46,23,9,1,581.29,50.66
47,24,339,1,132.5,0
48,24,207,1,20.55,0
49,24,6,1,856.12,0
50,24,358,1,149.63,0
51,25,441,1,55.72,0
52,25,409,1,136.05,0
53,26,45,1,317.1,61.79
54,26,244,1,123.31,0
55,26,130,1,93.31,0
56,27,232,1,234.43,43.78
57,27,111,1,1581.71,0
58,28,199,2,75.77,0
59,28,411,1,52.04,0
60,29,170,1,284.27,0
61,30,335,1,551.97,0
62,30,464,1,195.54,0
63,31,60,1,1748.28,0
64,31,52,1,466.87,69.67
65,31,85,2,1207.47,0
66,31,72,1,1507.45,0
67,32,217,1,211.53,0
68,32,35,2,658.09,0
